항목,내용 ,공개
이메일 계정은 어떻게 생성하나요?,일반적으로 신규 입사 시 IT 부서 또는 시스템 관리자에 의해 자동으로 생성됩니다. 계정 정보는 별도로 안내해 드립니다.,Y
비밀번호를 잊어버렸습니다.,"비밀번호 찾기 기능이 제공될 수 있습니다. 로그인 화면에서 ""비밀번호 찾기"" 또는 이와 유사한 링크를 클릭하여 안내에 따라 진행해 주세요. 만약 어려움이 있다면 IT 부서 또는 시스템 관리자에게 문의해 주시기 바랍니다.",Y
"메일 용량이 부족하다는 메시지가 뜹니다.
",불필요한 메일을 삭제하거나 개인 보관함으로 이동하여 용량을 확보해 주세요. 중요한 메일은 개인 PC에 백업하는 것을 권장합니다. 용량 추가가 필요하다면 IT 부서 또는 시스템 관리자에게 문의해 주십시오.,Y
"외부 메일 계정 (Gmail, Naver 등)을 그룹웨어 메일로 연동할 수 있나요?",시스템 설정에 따라 가능 여부가 다릅니다. IT 부서 또는 시스템 관리자에게 문의하여 연동 가능 여부 및 방법을 확인해 주세요.,Y
특정 수신인에게 메일이 발송되지 않는 것 같습니다. 어떻게 확인해야 하나요?,"먼저 수신인의 이메일 주소가 정확한지 확인해 주세요. 또한, 발송함 또는 보낸 편지함에서 해당 메일이 정상적으로 발송되었는지 확인하고, 스팸 메일함도 확인해 보시기 바랍니다. 문제가 지속되면 IT 부서 또는 시스템 관리자에게 문의해 주세요.",Y
결재 문서는 어떻게 작성하나요?,"그룹웨어 내 전자결재 메뉴에서 ""새 결재"" 또는 이와 유사한 버튼을 클릭하여 결재 양식을 선택하고 내용을 작성하시면 됩니다. 필요한 첨부 파일이 있다면 함께 첨부해 주세요.",Y
결재 진행 상황은 어떻게 확인할 수 있나요?,"전자결재 메뉴의 ""결재함"" 또는 ""진행 중인 결재""에서 본인이 상신하거나 결재해야 할 문서의 진행 상황을 확인할 수 있습니다.",Y
결재를 반려해야 할 경우 어떻게 해야 하나요?,"해당 결재 문서 상세 화면에서 ""반려"" 버튼을 클릭하고 반려 사유를 명확하게 작성하여 결재를 진행하시면 됩니다.",Y
이미 결재된 문서를 수정할 수 있나요?,"원칙적으로 결재가 완료된 문서는 수정할 수 없습니다. 필요한 경우 결재 취소 후 재상신하거나, 관련 부서와 협의하여 별도의 절차를 진행해야 할 수 있습니다.",Y
휴가 신청은 어떻게 하나요?,"전자결재 메뉴에서 휴가 신청 양식을 선택하고, 휴가 기간 및 사유 등을 작성하여 결재를 상신하시면 됩니다.",Y
"메신저 프로그램은 어떻게 설치하나요?
",그룹웨어 내 다운로드 링크 또는 IT 부서에서 제공하는 설치 파일을 통해 설치할 수 있습니다. 자세한 설치 방법은 안내에 따라 진행해 주세요.,Y
메신저에서 특정 사용자를 찾을 수 없습니다. 어떻게 검색해야 하나요?,메신저 내 검색창에 찾고자 하는 사용자의 이름 또는 아이디를 입력하여 검색할 수 있습니다.,Y
메신저에서 단체 채팅방을 만들 수 있나요?,"네, 메신저 내에서 새로운 채팅방을 생성하고 참여자를 초대하여 단체 채팅방을 만들 수 있습니다.",Y
메신저에서 파일 전송은 어떻게 하나요?,"채팅창 하단의 파일 첨부 아이콘을 클릭하거나, 파일을 드래그 앤 드롭하여 상대방에게 전송할 수 있습니다.",Y
"메시지 알림 설정을 변경할 수 있나요?
","메신저 설정 메뉴에서 알림음, 팝업 알림 등 다양한 알림 설정을 개인에 맞게 변경할 수 있습니다.",Y
출퇴근 기록은 어떻게 하나요?,"그룹웨어 내 근태관리 메뉴 또는 별도의 출퇴근 기록 시스템을 통해 출근 및 퇴근 시간을 기록할 수 있습니다. PC, 모바일 앱, 또는 사내 단말기 등 다양한 방법이 제공될 수 있습니다.",Y
출퇴근 기록이 잘못되었을 경우 어떻게 수정해야 하나요?,일반적으로 근태 수정 신청 기능을 통해 수정 사유와 함께 신청할 수 있습니다. 관리자의 승인이 필요할 수 있습니다.,Y
연차/휴가는 어떻게 신청하고 확인할 수 있나요?,"전자결재 메뉴의 휴가 신청 양식을 통해 신청하고, 근태관리 메뉴 또는 마이페이지에서 잔여 연차 및 휴가 사용 내역을 확인할 수 있습니다.",Y
외근/출장은 어떻게 신청하고 기록하나요?,"외근/출장 신청 양식을 통해 목적, 기간, 장소 등을 작성하여 결재를 상신하고, 필요에 따라 근태 기록 시 외근/출장으로 체크할 수 있습니다.",Y
"나의 근태 현황 (출근율, 지각 횟수 등)을 확인할 수 있나요?",근태관리 메뉴 또는 마이페이지에서 개인별 근태 현황을 확인할 수 있습니다.,Y
"개인 정보 (연락처, 주소 등)를 어떻게 변경하나요?",마이페이지 또는 인사관리 메뉴에서 개인 정보 수정 기능을 통해 변경할 수 있습니다. 변경된 정보는 관리자 승인 후 반영될 수 있습니다.,Y
조직도 및 직원 정보를 확인할 수 있나요?,그룹웨어 내 조직도 메뉴에서 회사 조직 구조 및 직원 정보를 확인할 수 있습니다. 접근 권한에 따라 정보 열람 범위가 제한될 수 있습니다.,Y
나의 인사고과 결과를 확인할 수 있나요?,"인사평가 완료 후, 해당 메뉴 또는 마이페이지를 통해 개인별 인사고과 결과를 확인할 수 있습니다.",Y
경력 증명서 등 각종 증명서를 발급받을 수 있나요?,그룹웨어 내 증명서 발급 신청 기능을 통해 필요한 증명서를 신청할 수 있습니다. 발급 절차 및 소요 시간은 회사 규정에 따릅니다.,Y
교육/훈련 신청은 어떻게 하나요?,"교육/훈련 관련 공지사항을 확인하고, 신청 기간 내 해당 메뉴를 통해 신청할 수 있습니다.",Y
"인사평가는 언제, 어떻게 진행되나요?","인사평가 시기는 회사 정책에 따라 다르며, 일반적으로 평가 기간 전에 평가 기준 및 절차가 공지됩니다. 그룹웨어 내 인사평가 메뉴를 통해 평가를 진행하게 됩니다.",Y
평가 항목 및 기준은 무엇인가요?,"평가 항목 및 기준은 직무, 직급 등에 따라 다를 수 있으며, 사전에 공지되는 평가 안내 자료를 통해 확인할 수 있습니다.",Y
자기평가는 어떻게 작성해야 하나요?,평가 항목별로 자신의 성과와 역량에 대해 객관적이고 구체적인 근거를 바탕으로 작성하는 것이 중요합니다.,Y
동료/상사 평가는 어떻게 진행되나요?,"평가 권한이 있는 경우, 해당 메뉴에서 동료 또는 부하 직원의 성과 및 역량에 대해 평가를 진행할 수 있습니다. 객관적이고 건설적인 피드백을 제공하는 것이 중요합니다.",Y
인사평가 결과에 대한 이의 신청은 어떻게 할 수 있나요?,"인사평가 결과에 이의가 있을 경우, 정해진 기간 내에 이의 신청 절차에 따라 신청할 수 있습니다. 관련 부서의 검토를 거쳐 답변을 받을 수 있습니다.",Y
회사 전체 주소록을 확인할 수 있나요?,"네, 그룹웨어 내 주소록 메뉴에서 회사 전체 구성원의 연락처, 부서, 직책 등의 정보를 확인할 수 있습니다. 접근 권한에 따라 정보 열람 범위가 제한될 수 있습니다.",Y
특정 부서 또는 직원을 어떻게 검색하나요?,주소록 내 검색창에 부서명 또는 직원 이름을 입력하여 검색할 수 있습니다.,Y
개인 주소록을 관리할 수 있나요?,시스템 설정에 따라 개인적으로 자주 연락하는 사람들의 정보를 저장하고 관리할 수 있는 개인 주소록 기능이 제공될 수 있습니다.,Y
주소록 정보를 엑셀 파일 등으로 내보낼 수 있나요?,보안상의 이유로 주소록 정보 내보내기 기능은 제한될 수 있습니다. 필요한 경우 관리자에게 문의해 주시기 바랍니다.,Y
내 정보가 주소록에 정확하게 반영되어 있는지 어떻게 확인하나요?,"주소록에서 본인 이름을 검색하여 등록된 정보를 확인하고, 수정이 필요한 경우 개인 정보 수정 메뉴를 통해 변경할 수 있습니다.",Y
자료실에는 어떤 종류의 파일을 공유할 수 있나요?,"일반적으로 문서 파일 (워드, 엑셀, 파워포인트, PDF 등), 이미지 파일, 동영상 파일 등 다양한 형식의 파일을 공유할 수 있습니다. 단, 파일 크기 제한이 있을 수 있습니다.",Y
파일을 어떻게 업로드하나요?,"자료실 내 ""업로드"" 또는 이와 유사한 버튼을 클릭하여 파일을 선택하거나, 드래그 앤 드롭하여 업로드할 수 있습니다. 파일명 및 관련 정보를 정확하게 입력해 주세요.",Y
공유된 파일을 어떻게 검색하나요?,"자료실 내 검색창에 파일명, 작성자, 또는 관련 키워드를 입력하여 검색할 수 있습니다.",Y
특정 파일에 대한 접근 권한은 어떻게 관리되나요?,"자료를 업로드하는 사용자가 접근 권한을 설정하거나, 관리자에 의해 부서별 또는 사용자별로 접근 권한이 관리될 수 있습니다.",Y
오래된 자료는 어떻게 관리되나요?,회사 정책에 따라 보존 기간이 지난 자료는 삭제되거나 별도의 아카이브 시스템으로 이동될 수 있습니다.,Y
공지사항은 어디에서 확인할 수 있나요?,그룹웨어 메인 화면 또는 공지사항 메뉴에서 최신 공지사항을 확인할 수 있습니다.,Y
중요한 공지사항은 어떻게 확인할 수 있나요?,"중요한 공지사항은 별도로 강조 표시되거나 팝업 형태로 안내될 수 있습니다. 또한, 이메일 또는 메신저를 통해 알림이 발송될 수 있습니다.",Y
지난 공지사항을 다시 볼 수 있나요?,"네, 공지사항 메뉴에서 기간별 또는 카테고리별로 지난 공지사항을 검색하여 다시 확인할 수 있습니다.",Y
공지사항에 댓글을 작성할 수 있나요?,시스템 설정에 따라 공지사항에 대한 의견이나 질문을 댓글로 작성하고 다른 사용자와 소통할 수 있습니다.,Y
공지사항 구독 설정을 변경할 수 있나요?,시스템 설정에 따라 특정 카테고리의 공지사항 알림을 받거나 받지 않도록 개인 설정을 변경할 수 있습니다.,Y
